# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
125317 2457502.60863 1263 0.0740 2.8084992245e+05 -1.1408943593e+03 1.7560243185e+03 2.9389860584e-01 -7.2888018550e+00 -5.9115163047e-02 1.5797553655e+05 -1.5567708735e+03 -1.1628703885e+03 3.2762909631e+00 9.9964360376e-01 -2.1886494754e-01
125318 2457502.62907 1246 0.0700 2.8188924851e+05 -1.1470027821e+03 1.7716787706e+03 3.0330378330e-01 -7.3264281195e+00 4.0731218354e-02 1.6198769991e+05 -1.5839941825e+03 -1.1380699089e+03 3.3220901693e+00 9.0808288403e-01 -2.1685428176e-01
125319 2457502.64951 1388 0.0764 2.8492045425e+05 -1.1696032083e+03 1.7705303712e+03 3.4538909386e-01 -7.3229506754e+00 3.7020403474e-02 1.5938582466e+05 -1.5655186096e+03 -1.1459832805e+03 3.2896253377e+00 9.4267328402e-01 -1.9125588078e-01
125320 2457502.66994 1132 0.0745 2.8404099220e+05 -1.1608159967e+03 1.7926255723e+03 3.2546702430e-01 -7.3937068139e+00 9.1984082870e-02 1.5950896857e+05 -1.5682142634e+03 -1.1633345802e+03 3.2970054172e+00 9.8887925086e-01 -2.8041056438e-01
125321 2457502.69038 1271 0.0730 2.8365950027e+05 -1.1570907840e+03 1.8013522156e+03 3.1703289863e-01 -7.4233903209e+00 1.0544324853e-01 1.6200313727e+05 -1.5867184724e+03 -1.1632801440e+03 3.3309937373e+00 9.8216747766e-01 -3.1232616993e-01
125322 2457502.71081 1289 0.0740 2.8086332683e+05 -1.1393766650e+03 1.7718385352e+03 2.8915709472e-01 -7.3264257889e+00 4.4510608930e-02 1.6091542324e+05 -1.5769184542e+03 -1.1461979039e+03 3.3115461316e+00 9.5668042713e-01 -1.2728524942e-01
125323 2457502.73124 598 0.0803 2.7281899469e+05 -1.0778123295e+03 1.7905109778e+03 1.7481415245e-01 -7.3302555404e+00 3.6542452709e-01 1.5501162847e+05 -1.5392012982e+03 -1.2052436318e+03 3.2507054272e+00 1.1335119723e+00 -3.3271146104e-01
125324 2457502.75168 1173 0.0931 2.7888443541e+05 -1.1335924420e+03 1.6848147091e+03 2.9096090619e-01 -7.0813402559e+00 -3.3700415135e-01 1.5456168304e+05 -1.5331593869e+03 -1.1800180368e+03 3.2351838363e+00 1.0537307201e+00 -2.6433542836e-01
125325 2457502.77212 1288 0.0737 2.8091177104e+05 -1.1471714107e+03 1.6990522981e+03 3.1196035045e-01 -7.1629016366e+00 -4.7697420726e-01 1.5654194435e+05 -1.5459728443e+03 -1.1618016983e+03 3.2545687760e+00 9.6858766038e-01 -3.5037739068e-01
125326 2457502.79255 1262 0.0707 2.7976261843e+05 -1.1408834171e+03 1.6771249888e+03 3.0325844652e-01 -7.1048532379e+00 -5.9090878090e-01 1.5631370375e+05 -1.5463161895e+03 -1.1816339832e+03 3.2587723012e+00 1.0379556995e+00 -3.7132001246e-01
125327 2457502.81299 1413 0.0728 2.8143700230e+05 -1.1506543923e+03 1.7030895812e+03 3.1690028755e-01 -7.1926099854e+00 -5.4886204353e-01 1.5702893519e+05 -1.5512244789e+03 -1.1776274852e+03 3.2670979892e+00 1.0223073343e+00 -3.7524125306e-01
